Date : 2026-05-15 10:22:19
Directory : c:\Users\andre\projects\fra.ktu.red-component\src
Total : 75 files,  9414 codes, 22 comments, 654 blanks, all 10090 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| TypeScript     |         48 |      8,346 |          5 |        393 |      8,744 |
| GLSL           |         25 |        870 |         16 |        229 |      1,115 |
| TypeScript JSX |          2 |        198 |          1 |         32 |        231 |
+----------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                   | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\andre\projects\fra.ktu.red-component\src\layers\shaders\recolour\recolour_shader.ts                           | TypeScript     |         96 |          0 |          8 |        104 |
| c:\Users\andre\projects\fra.ktu.red-component\src\layers\shaders\scramble\scramble_shader.frag                         | GLSL           |         34 |          1 |         10 |         45 |
| c:\Users\andre\projects\fra.ktu.red-component\src\layers\shaders\scramble\scramble_shader.ts                           | TypeScript     |         32 |          0 |          7 |         39 |
| c:\Users\andre\projects\fra.ktu.red-component\src\layers\shaders\shader_layer.ts                                       | TypeScript     |        133 |          0 |         18 |        151 |
| c:\Users\andre\projects\fra.ktu.red-component\src\layers\shaders\vlines\vlines_shader.frag                             | GLSL           |         33 |          1 |          9 |         43 |
| c:\Users\andre\projects\fra.ktu.red-component\src\layers\shaders\vlines\vlines_shader.ts                               | TypeScript     |         36 |          0 |          7 |         43 |
| c:\Users\andre\projects\fra.ktu.red-component\src\managers\layer_manager.ts                                            | TypeScript     |        102 |          2 |          7 |        111 |
| c:\Users\andre\projects\fra.ktu.red-component\src\managers\modulator_manager.ts                                        | TypeScript     |        100 |          0 |          4 |        104 |
| c:\Users\andre\projects\fra.ktu.red-component\src\managers\shader_manager.ts                                           | TypeScript     |        323 |          0 |          7 |        330 |
| c:\Users\andre\projects\fra.ktu.red-component\src\modulators\base_modulator.ts                                         | TypeScript     |        130 |          0 |         12 |        142 |
| c:\Users\andre\projects\fra.ktu.red-component\src\modulators\compressor_modulator.ts                                   | TypeScript     |         49 |          0 |          4 |         53 |
| c:\Users\andre\projects\fra.ktu.red-component\src\modulators\imodulator.ts                                             | TypeScript     |         19 |          0 |          4 |         23 |
| c:\Users\andre\projects\fra.ktu.red-component\src\modulators\lfo_modulator.ts                                          | TypeScript     |         65 |          0 |          6 |         71 |
| c:\Users\andre\projects\fra.ktu.red-component\src\modulators\random_modulator.ts                                       | TypeScript     |         30 |          0 |          5 |         35 |
| c:\Users\andre\projects\fra.ktu.red-component\src\modulators\ring_modulator.ts                                         | TypeScript     |         50 |          0 |          4 |         54 |
| c:\Users\andre\projects\fra.ktu.red-component\src\types\raw-modules.d.ts                                               | TypeScript     |          8 |          0 |          2 |         10 |
| c:\Users\andre\projects\fra.ktu.red-component\src\types\red_scene_state.ts                                             | TypeScript     |         15 |          0 |          2 |         17 |
| Total                                                                                                                  |                |      9,414 |         22 |        654 |     10,090 |
+------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
